,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,Fraud,acid_balance_ratio,sulfur_preservation_index,ph_volatile_interaction,low_sulfur_indicator,acidity_sugar_balance
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,Legit,False,0,0.0782051282051282,1.671258043593467,1.9886,1,8.801569090319497
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,Legit,False,0,0.0696629213483146,4.318364952394479,1.9592,0,6.069044621618379
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,Legit,False,0,0.0696629213483146,4.192174176286611,1.9654,0,5.990302737662827
16,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,Legit,False,0,0.03294117647058824,3.4486524735750264,0.924,0,8.527422709293358
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,Legit,False,0,0.06913580246913581,2.138089935299395,1.7416,1,8.718836689064073
18,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,Fraud,False,1,0.07972972972972972,1.1141720290623112,1.9941999999999998,1,4.737906165729403
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,Legit,False,0,0.04050632911392405,2.271720556255607,0.9728,1,7.983532422595832
20,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,Legit,False,0,0.024719101123595506,3.7438839013338363,0.7458,1,8.857641811931144
21,7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,Legit,False,0,0.05131578947368422,2.7295978138458623,1.3728,1,6.6922268497240145
22,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Legit,False,0,0.05443037974683544,1.643989873053573,1.3631,1,8.717844295167824
23,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,Legit,False,0,0.05764705882352941,1.099524999206747,1.5533,1,7.529802175096232
24,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,Legit,False,0,0.057971014492753624,3.320391543176798,1.372,1,5.965146718400649
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,Legit,False,0,0.06190476190476191,2.2936585546278225,1.3026,1,7.641620670796873
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,Legit,False,0,0.05394736842105263,1.2060453783110545,1.3447999999999998,1,7.7795735650842595
27,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,Legit,False,0,0.05443037974683544,1.643989873053573,1.3631,1,8.717844295167824
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,Legit,False,0,0.1,2.3664319132398464,2.4637000000000002,1,7.3353256698260765
29,7.8,0.645,0.0,2.0,0.0819999999999999,8.0,16.0,0.9964,3.38,0.59,9.8,Legit,False,0,0.08269230769230769,2.0,2.1801,1,7.686970268863641
30,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,Legit,False,0,0.10074626865671642,1.877335943272391,2.2612500000000004,1,6.026432472356819
31,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,Legit,False,0,0.09927536231884058,3.6167777207178604,2.3701000000000003,1,6.054617027122035
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,Legit,False,0,0.0789156626506024,1.4110813025753959,2.07635,1,7.500487038708204
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,Legit,False,0,0.08768115942028985,4.390570399587614,2.08725,0,3.0513229985611328
34,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,Legit,False,0,0.061538461538461535,1.8384776310850235,1.0816,1,5.361204254589902
35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,Legit,False,0,0.08269230769230769,1.1785113019775793,2.193,1,4.511694720848692
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,Legit,False,0,0.07692307692307693,0.7745966692414834,2.052,1,6.864004443091157
37,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,Legit,False,0,0.04691358024691358,2.37346441585572,1.2274,1,7.495124778248837
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,Fraud,False,1,0.1982456140350877,1.6059101370939322,3.9549999999999996,1,7.4539660420117
39,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,Legit,False,0,0.06164383561643836,1.2865350418053536,1.4985000000000002,1,4.01238109680974
40,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,Legit,False,0,0.06164383561643836,1.2865350418053536,1.4985000000000002,1,4.01238109680974
41,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,Fraud,False,1,0.0693181818181818,2.5065132546332514,1.9886,1,7.048683506323108
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,Legit,False,0,0.06533333333333333,2.138089935299395,1.5729,1,6.237636727537487
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,Legit,False,0,0.08148148148148149,1.876629726513673,2.178,1,7.531267593291251
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,Legit,False,0,0.0985294117647059,1.507556722888818,2.3316000000000003,1,7.2551079314830735
45,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,Fraud,False,1,0.11304347826086958,0.9922778767136677,2.028,1,4.525358356678542
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,Legit,False,0,0.12142857142857143,2.060488785479727,3.0387500000000003,1,7.423800875350452
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,Legit,False,0,0.03333333333333333,1.9727878476642875,0.9424999999999999,1,9.408573855169115
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,Legit,False,0,0.0625,1.4433756729740645,1.336,1,7.116607587892102
49,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,Legit,False,0,0.05535714285714286,1.2247448713915892,1.0292,1,6.750669381825039
50,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,Legit,False,0,0.075,0.8340576562282991,2.079,1,9.524271949023804
51,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,Legit,False,0,0.0787878787878788,2.065591117977289,1.768,1,6.121304253907957
52,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,Legit,False,0,0.07575757575757576,1.6035674514745464,1.695,1,6.2753992836753225
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,Legit,False,0,0.044186046511627906,2.7500954910846342,1.2160000000000002,0,6.477700733591446
54,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,Legit,False,0,0.06710526315789474,3.862357857472309,1.6167,0,6.074901512888459
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,Legit,False,0,0.08051948051948052,3.7267799624996494,2.0707999999999998,1,5.304038997044635
56,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,Legit,False,0,0.041176470588235294,1.2649110640673518,1.2768,1,7.1679045971169275
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,Legit,False,0,0.084,4.767312946227961,2.0538,0,4.495963327084128
58,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,Legit,False,0,0.07564102564102564,2.3134069792952237,2.0237,1,7.027256979872902
59,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,Legit,False,0,0.05342465753424658,1.3269776053940743,1.3299,1,6.283832638972737
60,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,Legit,False,0,0.045454545454545456,2.6348259320698384,1.3760000000000001,1,7.909550440442867
61,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,Legit,False,0,0.0896103896103896,1.889822365046136,2.2148999999999996,1,8.148641973914724
62,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,Legit,False,0,0.06933333333333333,2.02837021134844,1.7576,1,7.5325623395653185
63,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,Legit,False,0,0.105,1.7690759253434063,2.49165,1,7.040700417958587
64,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Legit,False,0,0.10069444444444443,1.2060453783110545,2.47225,1,4.576545273197104
65,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,Legit,False,0,0.10069444444444443,1.2060453783110545,2.47225,1,4.576545273197104
66,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,Legit,False,0,0.06933333333333333,1.7614096918559585,1.7784,1,8.752680476857076
67,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,Legit,False,0,0.10681818181818181,1.5491933384829668,2.4252,1,7.645120357287029
68,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,Legit,False,0,0.034408602150537634,3.3489378339086286,1.0495999999999999,1,8.756501360150176
69,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,Legit,False,0,0.088125,1.835325870964494,2.3547,1,8.175929571809988
70,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,Legit,False,0,0.08181818181818182,2.8867513459481287,2.0916,1,7.8237212329899135
71,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,Legit,False,0,0.08701298701298701,1.735055234471418,2.2244,1,7.397900282304571
72,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,Legit,False,0,0.0896103896103896,1.856558243265828,2.2839,1,7.880074567201126
73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,Fraud,False,1,0.08132530120481928,1.6774842736586515,2.2342500000000003,1,7.932635009998032
74,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,Legit,False,0,0.032989690721649485,3.0733992797113294,1.0495999999999999,1,7.998320713482238
75,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Legit,False,0,0.046590909090909086,1.3887301496588271,1.4514,1,7.918147777878131
76,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,Legit,False,0,0.046590909090909086,1.3887301496588271,1.4514,1,7.918147777878131
77,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,Legit,False,0,0.11544117647058824,2.556038601690775,2.7632000000000003,1,6.198032583434098
78,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,Legit,False,0,0.11194029850746269,1.3416407864998738,2.535,1,6.781282238369938
79,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,Fraud,False,1,0.0753012048192771,2.475085941976171,1.975,1,9.740358261340326
80,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,Legit,False,0,0.07258064516129033,0.7745966692414834,1.5345000000000002,1,6.959623596982717
81,7.8,0.43,0.7,1.9,0.4639999999999999,22.0,67.0,0.9974,3.13,1.28,9.4,Legit,False,0,0.05512820512820513,2.687727775838715,1.3458999999999999,1,7.7297990093045605
82,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,Legit,False,0,0.06756756756756756,2.457864091118742,1.68,1,7.1908898903520155
83,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,Legit,False,0,0.09178082191780823,2.2404481344448155,2.1172000000000004,1,7.7407242588915794
84,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,Legit,False,0,0.047619047619047616,2.3046638387921274,1.032,1,6.410135521792274
85,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,Legit,False,0,0.07971014492753624,3.00416377715996,1.8755000000000002,1,6.405016389271669
86,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Legit,False,0,0.056976744186046514,1.7149858514250882,1.4357,1,8.537530132998597
87,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Legit,False,0,0.06363636363636363,1.6164477182409742,1.6611,1,7.692230119830419
88,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,Legit,False,0,0.04193548387096774,3.041052449399714,1.2246000000000001,0,8.564594233635757
89,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,Legit,False,0,0.08857142857142856,1.6329931618554523,2.1576,1,7.400792829705625
90,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,Legit,False,0,0.06582278481012659,3.5496478698597698,1.6796,0,7.908251234306731
91,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,Legit,False,0,0.056976744186046514,1.7149858514250882,1.4357,1,8.537530132998597
92,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,Legit,False,0,0.056976744186046514,1.647508942095828,1.4357,1,8.274074570037952
93,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,Legit,False,0,0.06363636363636363,1.6164477182409742,1.6611,1,7.692230119830419
94,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,Fraud,False,1,0.20400000000000001,4.447074385282452,3.825,0,6.876316358474914
95,4.7,0.6,0.17,2.3,0.0579999999999999,17.0,106.0,0.9932,3.85,0.6,12.9,Legit,False,0,0.1276595744680851,1.6511859660073491,2.31,1,4.43914922447275
96,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,Legit,False,0,0.11397058823529413,1.6681153124565982,2.67375,1,5.46420746736695
97,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,Legit,False,0,0.07142857142857142,0.6396021490668313,1.625,1,6.82679419970128
98,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,Legit,False,0,0.11842105263157895,1.5811388300841895,3.051,1,6.785002601257388
99,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Legit,False,0,0.06728395061728396,2.197401062294143,1.7985,1,8.119576237598775
100,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,Legit,False,0,0.07349397590361445,1.5556349186104046,2.074,1,7.87518417148551
101,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,Legit,False,0,0.06410256410256411,1.7056057308448833,1.655,1,7.795544565884308
102,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,Legit,False,0,0.06728395061728396,2.197401062294143,1.7985,1,8.119576237598775
103,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Legit,False,0,0.07098765432098765,1.4884168150705015,1.8917499999999998,1,7.667477293786397
104,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,Legit,False,0,0.06805555555555555,0.8333333333333334,1.6317,1,6.611352487718005
105,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,Legit,False,0,0.07098765432098765,1.4884168150705015,1.8917499999999998,1,7.667477293786397
106,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,Legit,False,0,0.052564102564102565,2.1669453555438456,1.2628,1,8.265779355336724
107,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,Legit,False,0,0.10161290322580645,1.875,2.1798,1,6.876403531906192
108,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,Legit,False,0,0.04125,2.0124611797498106,1.1121,1,6.649302549232241
109,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,Legit,False,0,0.09691358024691359,2.99127270878144,2.51985,0,8.08747552857945
110,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Legit,False,0,0.0717948717948718,1.7503798979747347,1.7864000000000002,1,8.119504994270214
111,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,Legit,False,0,0.07380952380952381,1.058475493514314,1.9529999999999998,1,7.754798366608115
112,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,Legit,False,0,0.07142857142857142,1.3288211940534986,1.89,1,7.737603691737587
113,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,Legit,False,0,0.030693069306930693,3.243723035407737,1.0292,1,8.71915913712478
114,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,Legit,False,0,0.0717948717948718,1.7503798979747347,1.7864000000000002,1,8.119504994270214
115,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,Legit,False,0,0.0425531914893617,1.6510016510024765,1.228,1,8.425390686558707
116,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,Legit,False,0,0.06506024096385542,1.7392527130926085,1.8306000000000002,1,8.302724573785214
117,7.8,0.56,0.12,2.0,0.0819999999999999,7.0,28.0,0.997,3.37,0.5,9.4,Legit,False,0,0.0717948717948718,1.3228756555322951,1.8872000000000002,1,7.609599934600359
118,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Legit,False,0,0.0625,1.8708286933869707,1.7655,1,8.038510501971828
119,7.0,0.69,0.08,1.8,0.0969999999999999,22.0,89.0,0.9959,3.34,0.54,9.2,Legit,False,0,0.09857142857142856,2.3319953360139922,2.3045999999999998,1,7.468779115542816
120,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,Legit,False,0,0.14657534246575343,1.05999788000636,3.531,1,8.42686640732867
121,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,Legit,False,0,0.0625,1.8708286933869707,1.7655,1,8.038510501971828
122,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,Legit,False,0,0.09520547945205479,0.8320502943378437,2.42555,1,6.381893623182685
123,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,Legit,False,0,0.08875,1.8864844365675972,2.4423999999999997,1,6.799726645413207
124,7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,Legit,False,0,0.06410256410256411,2.079309840251016,1.695,1,8.686447496985949
125,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,Legit,False,0,0.06888888888888889,2.8460498941515415,1.9592,1,9.035317918530968
126,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,Legit,False,0,0.16219512195121955,0.8660254037844387,4.6949,1,9.594747534270278
127,8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,Legit,False,0,0.16419753086419756,0.8660254037844387,4.708200000000001,1,9.158723934924415
128,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,Legit,False,0,0.07375,0.75,2.0178,1,8.342888504878125
129,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,Legit,False,0,0.06229508196721312,1.3764944032233704,1.2996,1,6.293587603214232
130,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,Legit,False,0,0.093125,2.5916052767440805,2.4138,0,7.960042036851692
131,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Legit,False,0,0.08928571428571429,1.7085642859406605,1.815,1,5.109209484770524
132,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,Legit,False,0,0.08928571428571429,1.7085642859406605,1.815,1,5.109209484770524
133,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,Legit,False,0,0.07575757575757576,3.333974297349129,1.7,1,7.748632342354768
134,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,Legit,False,0,0.13164556962025317,2.4140393963016744,3.3488,1,7.686019667126004
135,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Legit,False,0,0.08869047619047618,2.0158105227158782,2.37655,1,8.58918735602554
136,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,Legit,False,0,0.086144578313253,1.386750490563073,2.30945,1,8.755662383175357
137,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,Legit,False,0,0.057638888888888885,1.9379255804998177,1.4442,1,6.9314717107633665
138,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,Legit,False,0,0.0717948717948718,1.4638501094227998,1.8648000000000002,1,7.389061691764182
139,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,Legit,False,0,0.0717948717948718,1.6358257627039396,1.8592000000000002,1,7.609599934600359
140,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,Legit,False,0,0.08869047619047618,2.0158105227158782,2.37655,1,8.58918735602554
141,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,Legit,False,0,0.086144578313253,1.386750490563073,2.30945,1,8.755662383175357
142,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Legit,False,0,0.06538461538461539,3.401680257083045,1.2512,1,5.380628907686242
143,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,Legit,False,0,0.06190476190476191,0.6708203932499369,1.3026,1,6.735452361413238
144,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,Legit,False,0,0.06538461538461539,3.401680257083045,1.2512,1,5.380628907686242
145,8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,Legit,False,0,0.08271604938271605,2.694886147412861,2.1239,0,8.517710382745188
146,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,Legit,False,0,0.11724137931034484,2.165984617143466,2.4072,1,6.293587603214232
147,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,Legit,False,0,0.06447368421052632,1.0660035817780522,1.5238999999999998,1,8.46666990971281
148,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,Legit,False,0,0.07101449275362319,2.1908902300206643,1.6758,1,6.189681654500685
149,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,Legit,False,0,0.04878048780487806,1.6774842736586515,1.412,1,6.441942418106135
150,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,Legit,False,0,0.045205479452054796,1.507556722888818,1.0989,1,6.743844582315875
151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,Fraud,False,1,0.05652173913043479,3.8523472987446143,1.4248,0,6.560455054988374
152,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Legit,False,0,0.08,2.51259453814803,2.01,1,7.866984504017791
153,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,Legit,False,0,0.08,2.51259453814803,2.01,1,7.866984504017791
154,7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,Legit,False,0,0.06056338028169014,2.5533076283443092,1.4706,1,4.022861012195459
